Episode,Summed_Reward
0,0
1,21.0
2,38.0
3,34.0
4,23.0
5,20.0
6,18.0
7,14.0
8,8.0
9,11.0
10,20.0
11,60.0
12,10.0
13,16.0
14,21.0
15,12.0
16,48.0
17,15.0
18,19.0
19,12.0
20,21.0
21,16.0
22,11.0
23,16.0
24,15.0
25,74.0
26,13.0
27,46.0
28,20.0
29,22.0
30,22.0
31,22.0
32,21.0
33,13.0
34,60.0
35,55.0
36,22.0
37,15.0
38,11.0
39,19.0
40,56.0
41,11.0
42,19.0
43,26.0
44,40.0
45,26.0
46,24.0
47,18.0
48,53.0
49,26.0
50,12.0
51,15.0
52,14.0
53,15.0
54,63.0
55,12.0
56,30.0
57,42.0
58,24.0
59,36.0
60,48.0
61,10.0
62,21.0
63,42.0
64,34.0
65,87.0
66,44.0
67,29.0
68,20.0
69,30.0
70,14.0
71,23.0
72,19.0
73,16.0
74,14.0
75,30.0
76,16.0
77,10.0
78,22.0
79,15.0
80,55.0
81,24.0
82,15.0
83,14.0
84,23.0
85,12.0
86,45.0
87,19.0
88,25.0
89,29.0
90,16.0
91,31.0
92,49.0
93,32.0
94,16.0
95,43.0
96,36.0
97,10.0
98,15.0
99,12.0
100,23.0
101,33.0
102,30.0
103,20.0
104,24.0
105,37.0
106,97.0
107,14.0
108,13.0
109,32.0
110,48.0
111,60.0
112,19.0
113,18.0
114,108.0
115,38.0
116,61.0
117,15.0
118,159.0
119,51.0
120,15.0
121,28.0
122,28.0
123,11.0
124,35.0
125,41.0
126,70.0
127,16.0
128,37.0
129,96.0
130,27.0
131,31.0
132,50.0
133,40.0
134,13.0
135,120.0
136,31.0
137,41.0
138,19.0
139,137.0
140,12.0
141,15.0
142,98.0
143,25.0
144,105.0
145,79.0
146,22.0
147,138.0
148,17.0
149,20.0
150,34.0
151,76.0
152,123.0
153,90.0
154,89.0
155,86.0
156,82.0
157,45.0
158,102.0
159,220.0
160,144.0
161,50.0
162,64.0
163,58.0
164,45.0
165,71.0
166,28.0
167,115.0
168,73.0
169,38.0
170,96.0
171,94.0
172,33.0
173,38.0
174,47.0
175,42.0
176,156.0
177,66.0
178,88.0
179,33.0
180,101.0
181,39.0
182,69.0
183,295.0
184,46.0
185,75.0
186,173.0
187,82.0
188,68.0
189,173.0
190,145.0
191,11.0
192,26.0
193,48.0
194,99.0
195,74.0
196,24.0
197,85.0
198,224.0
199,67.0
200,49.0
201,243.0
202,212.0
203,142.0
204,320.0
205,150.0
206,169.0
207,183.0
208,334.0
209,189.0
210,214.0
211,120.0
212,195.0
213,146.0
214,150.0
215,204.0
216,273.0
217,157.0
218,177.0
219,117.0
220,270.0
221,287.0
222,129.0
223,138.0
224,175.0
225,409.0
226,214.0
227,422.0
228,204.0
229,78.0
230,125.0
231,236.0
232,333.0
233,164.0
234,313.0
235,358.0
236,164.0
237,338.0
238,290.0
239,205.0
240,225.0
241,209.0
242,160.0
243,209.0
244,170.0
245,369.0
246,163.0
247,145.0
248,267.0
249,48.0
250,267.0
251,613.0
252,343.0
253,286.0
254,644.0
255,230.0
256,322.0
257,262.0
258,401.0
259,444.0
260,453.0
261,452.0
262,281.0
263,646.0
264,210.0
265,146.0
266,524.0
267,763.0
268,738.0
269,160.0
270,498.0
271,314.0
272,372.0
273,345.0
274,379.0
275,253.0
276,253.0
277,839.0
278,194.0
279,269.0
280,500.0
281,490.0
282,639.0
283,288.0
284,207.0
285,396.0
286,186.0
287,273.0
288,175.0
289,494.0
290,388.0
291,323.0
292,285.0
293,449.0
294,510.0
295,307.0
296,161.0
297,300.0
298,677.0
299,296.0
300,605.0
301,294.0
302,331.0
303,241.0
304,200.0
305,429.0
306,513.0
307,559.0
308,229.0
309,324.0
310,376.0
311,500.0
312,548.0
313,599.0
314,463.0
315,526.0
316,634.0
317,627.0
318,356.0
319,298.0
320,227.0
321,232.0
322,454.0
323,268.0
324,496.0
325,172.0
326,273.0
327,344.0
328,567.0
329,1273.0
330,272.0
331,504.0
332,244.0
333,601.0
334,439.0
335,481.0
336,455.0
337,646.0
338,231.0
339,679.0
340,624.0
341,390.0
342,267.0
343,317.0
344,250.0
345,193.0
346,526.0
347,252.0
348,831.0
349,230.0
350,189.0
